variable;variable_old;item;text;info
RespNum;sys_RespNum;NA;1;2
gender;Gender;NA;2;2
age;age;NA;26;58
education;education;NA;6;3
jobtype;job;NA;4;6
kut_1;KUT_r1;NA;4;3
kut_2;KUT_r2;NA;1;3
kut_3;KUT_r3;NA;5;2
kut_4;KUT_r4;NA;6;2
kut_5;KUT_r5;NA;1;3
kut_6;KUT_r6;NA;5;2
kut_7;KUT_r7;NA;3;4
kut_8;KUT_r8;NA;2;4
gaais_1;Gaais_r1;NA;5;2
gaais_2;Gaais_r2;NA;2;4
gaais_3;Gaais_r3;NA;2;3
gaais_4;Gaais_r4;NA;6;3
gaais_5;Gaais_r5;NA;5;3
gaais_6;Gaais_r6;NA;2;4
gaais_7;Gaais_r7;NA;5;4
gaais_8;Gaais_r8;NA;3;4
gaais_9;Gaais_r9;NA;5;1
gaais_10;Gaais_r10;NA;3;4
cbc_1;CBC_Random1;NA;1;3
cbc_2;CBC_Random2;NA;2;1
cbc_3;CBC_Random3;NA;2;3
cbc_4;CBC_Random4;NA;1;1
cbc_5;CBC_Random5;NA;1;2
cbc_6;CBC_Random6;NA;1;3
cbc_7;CBC_Random7;NA;2;1
cbc_8;CBC_Random8;NA;3;3
cbc_9;CBC_Random9;NA;2;3
cbc_10;CBC_Random10;NA;3;1
cbc_11;CBC_Random11;NA;2;2
cbc_12;CBC_Random12;NA;2;1